CENSUS_TRACT_GEO_ID_2010,Improve Detroit Issues
26163537100,698.8396234452181
26163536400,763.9383518327734
26163512100,638.1101036628313
26163506200,525.8834343688418
26163513600,411.0188084879269
26163506900,597.3875893432888
26163501000,1135.111114875543
26163500100,611.8091180541057
26163534400,816.11847858030535
26163546600,720.8441444640038
26163531400,713.7648919606074
26163530100,724.9041600535364
26163524700,381.0384638819101
26163518500,310.64488879024617
26163524300,256.87402902669794
26163537500,721.9788277890025
26163507800,267.74826200219945
26163524200,855.8809938005135
26163539100,799.0021860949499
26163541200,486.5100515636545
26163525600,395.75282984973234
26163510400,222.71956162229975
26163527300,543.7209203396824
26163520400,575.4933177731746
26163503200,716.5016812881738
26163532200,517.0212808278998
26163515900,480.6534082495258
26163525400,389.43875405693245
26163537700,942.326484173581
26163516400,365.3065026163641
26163520700,562.53568775625
