CENSUS_TRACT_GEO_ID_2010,Blight Violations
26163538800,313.52476426494275
26163533300,489.10247597896097
26163539600,417.27728080506074
26163504000,239.05497258152843
26163545200,612.5320060791613
26163540800,211.85183035029132
26163542900,196.9641862228577
26163534300,442.41661487789816
26163512300,424.18744480342457
26163541500,308.69595774322215
26163543500,316.0508600022525
26163515300,517.9672681432891
26163521400,285.6809919753459
26163524500,16.108704343403556
26163541800,239.72537680960613
26163531600,1396.9039921345877
26163546900,332.21310848178257
26163513700,78.74850221978285
26163507200,616.7248892720806
26163545900,1270.5880150385242
26163504800,45.9108002423418
26163515900,337.68284772204646
26163985300,114.22440346421114
26163526300,375.6902560908731
26163540400,454.2908553110579
26163506800,216.2450740853254
26163539400,512.8126268108205
26163523800,281.6236770906298
26163506400,361.53986998960966
26163531400,610.5699678217245
26163514200,492.22896207021523
