ToxPi Score,FIPS,Name,Source,Socioeconomic Stressors!1!0x88cceeff,Housing Composition & Disability!1!0x44aa99ff,Minority Status & Language!1!0x117733ff,Housing Type & Transportation!1!0x332288ff
0.334256122290727,26163517100,26163517100,"+42.3358287,-083.0330442",0.235591008363075,0.401185770750988,0.320948016116853,0.379299693931991
0.341173239089009,26163517200,26163517200,"+42.3338393,-083.0390113",0.105044478772705,0.0197628458498024,0.577037795269317,0.662847836464212
0.513198471745318,26163517300,26163517300,"+42.3456895,-083.0505419",0.560738827038832,0.518774703557312,0.340774569974868,0.63250578641026
0.490003492592237,26163517500,26163517500,"+42.3541327,-083.0560746",0.427808554839397,0.555335968379447,0.396288920777312,0.580580526372793
0.323272185997022,26163518000,26163518000,"+42.3624987,-083.0613713",0.346228626218505,0.274703557312253,0.111275902912531,0.560880657544797
0.482648488915683,26163518400,26163518400,"+42.3698286,-083.0441079",0.811231555958025,0.470355731225296,0.0967364300833199,0.552270238396091
0.569243936174372,26163518500,26163518500,"+42.3732892,-083.0345719",0.497816012358174,0.700592885375494,0.500381112220088,0.578185734743733
0.476456799451385,26163518600,26163518600,"+42.3647264,-083.0294479",0.52598146273904,0.568181818181818,0.337298616893908,0.474365299990774
0.4880570722588,26163518800,26163518800,"+42.3597016,-083.0372366",0.598958610770788,0.646245059288538,0.182651496801387,0.524373122174487
0.729174842642724,26163518900,26163518900,"+42.3525953,-083.0435070",0.768084483034145,0.758893280632411,0.762085631277462,0.627635975626878
0.405956377265713,26163520200,26163520200,"+42.3572141,-083.0699378",0.517538486123688,0,0.400816307991572,0.705470714947592
0.299362925636529,26163520300,26163520300,"+42.3497881,-083.0627334",0.246311191604965,0.00988142292490118,0.313017394573646,0.628241693442603
0.626512141526163,26163520400,26163520400,"+42.3481561,-083.0675930",0.709955787567251,0.480237154150198,0.658072150455131,0.657783473932071
0.298784612102807,26163520700,26163520700,"+42.3347168,-083.0554556",0.115604858040803,0.172924901185771,0.30508677303044,0.601521916154213
0.29387288836171,26163520800,26163520800,"+42.3254678,-083.0537969",0,0.216403162055336,0.621178077741995,0.33791031364951
0.514770122649615,26163521100,26163521100,"+42.3208768,-083.0808652",0.519975496724018,0.41205533596838,0.484609698180281,0.642439959725782
0.499414744116377,26163521300,26163521300,"+42.3341230,-083.0929489",0.591900601928301,0.427865612648221,0.421402555664131,0.556490206224854
0.375472436984182,26163521400,26163521400,"+42.3305838,-083.0730165",0.290390454375966,0.227272727272727,0.611104391801191,0.373122174486845
0.434604349776004,26163521500,26163521500,"+42.3368603,-083.0763920",0.21112768337506,0.644268774703557,0.133745997284949,0.749274943740448
0.526459768246777,26163521800,26163521800,"+42.3461214,-083.0712523",0.695000799019869,0.822134387351779,0.232878766575027,0.355825120040435
0.321675723879814,26163521900,26163521900,"+42.3503993,-083.0805337",0.338691205454642,0.33695652173913,0.104667051626526,0.506388116698958
0.653414085456528,26163522000,26163522000,"+42.3435757,-083.0875891",0.760893304213498,0.839920948616601,0.314828522521491,0.698013566474522
0.525630051729318,26163522100,26163522100,"+42.3435090,-083.1014140",0.322231396154051,0.554347826086957,0.589267378328663,0.636673606347602
0.673839233015765,26163522200,26163522200,"+42.3511187,-083.1065656",0.624287540616843,0.50296442687747,0.764429741636511,0.803675222932236
0.68974451108489,26163522300,26163522300,"+42.3565382,-083.0965947",0.778271986363394,0.872529644268775,0.312184982007089,0.795991431700302
0.593980301370935,26163522400,26163522400,"+42.3609881,-083.0833636",0.636738933574815,0.763833992094862,0.22494814503182,0.750400134782242
0.670284986012784,26163522500,26163522500,"+42.3411363,-083.0606837",0.685652266553028,0.574110671936759,0.721470069490653,0.699906936070697
0.572938783020027,26163523100,26163523100,"+42.3259510,-083.1023821",0.583457625312949,0.362648221343874,0.747174009540883,0.598475275882402
0.604447369878071,26163523200,26163523200,"+42.3144563,-083.1042425",0.712952112075854,0.458498023715415,0.75893305949896,0.487406284222054
0.595111154123508,26163523300,26163523300,"+42.3172270,-083.0975239",0.79505140361157,0.409090909090909,0.526427258162149,0.649875045629405
0.536854484793449,26163523400,26163523400,"+42.3196503,-083.0910903",0.470329728865925,0.58201581027668,0.539713401912526,0.555358998118665
