row#,Name,FIPS,Source,ToxPi Score,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
140,26163524900,26163524900,"+42.2904837,-083.1246926",0.789903738501745,0.747705063665976,0.766905023904577,0.855101127934682
141,26163525000,26163525000,"+42.3036532,-083.0973176",0.773105204714116,0.649266826791257,0.813891695178148,0.856157092172944
142,26163525400,26163525400,"+42.3391838,-083.1140246",0.516301380892964,0.607162833547198,0.499874186436922,0.441867122694773
143,26163525500,26163525500,"+42.3340140,-083.1093553",0.522256792425632,0.77136182673642,0.404227711282284,0.391180839258191
144,26163525600,26163525600,"+42.3282644,-083.1115806",0.433081644344781,0.515743756786102,0.450046382015045,0.333454794233195
145,26163525700,26163525700,"+42.3267956,-083.1262619",0.64902885985466,0.761337588699152,0.694603537051156,0.491145453813671
146,26163525800,26163525800,"+42.3332194,-083.1284291",0.551766389545194,0.840297656258568,0.481546718143818,0.333454794233195
147,26163526000,26163526000,"+42.3259356,-083.1429717",0.677751081164903,0.850990907994165,0.562302125310309,0.619960210190235
148,26163526100,26163526100,"+42.3334778,-083.1520873",0.58348865772528,0.907473212033473,0.497583252900284,0.345409508242084
149,26163526200,26163526200,"+42.3372007,-083.1452619",0.551493929641964,0.766815823819081,0.542256456864726,0.345409508242084
150,26163526300,26163526300,"+42.3390784,-083.1384863",0.647911918372668,0.919784160826506,0.592656994670763,0.431294599620736
151,26163526400,26163526400,"+42.3405358,-083.1309829",0.445033952520169,0.567137169743033,0.422555179575389,0.345409508242084
152,26163526500,26163526500,"+42.3481772,-083.1404328",0.55422961482949,0.580122615953235,0.565738525615266,0.516827702919968
153,26163527200,26163527200,"+42.3515946,-083.1186144",0.247982624757419,0.00168350168350168,0.40880957835556,0.333454794233195
154,26163527300,26163527300,"+42.3457181,-083.1184380",0.368229089685719,0.260942760942761,0.423700646343708,0.420043861770689
155,26163530100,26163530100,"+42.4096746,-083.1216653",0.573192724292183,0.674502900887266,0.450820041537254,0.594255230452029
156,26163530200,26163530200,"+42.4111231,-083.1341948",0.580308916172224,0.623997850382215,0.501220579343291,0.615708318791165
157,26163530300,26163530300,"+42.4008029,-083.1306653",0.550752434908455,0.509327805744744,0.499414121915221,0.643515377065401
158,26163530400,26163530400,"+42.3909517,-083.1361282",0.475888610937335,0.59874532512969,0.457491916009119,0.371428591673195
159,26163530500,26163530500,"+42.3844331,-083.1340130",0.500348367640792,0.595378321762687,0.534238189486493,0.371428591673195
160,26163530800,26163530800,"+42.3716662,-083.1339332",0.520685433743579,0.578351374768313,0.534810922870653,0.448894003591772
161,26163530900,26163530900,"+42.3753050,-083.1262756",0.370760790630555,0.0589225589225589,0.579484126835094,0.473875686134013
162,26163531100,26163531100,"+42.3748819,-083.1152689",0.317647088298904,0.13973063973064,0.46780111692399,0.345409508242084
163,26163531200,26163531200,"+42.3788297,-083.1020097",0.570354553394703,0.724816021232959,0.539475413776397,0.446772225174753
164,26163531300,26163531300,"+42.3833022,-083.1097921",0.461856920907263,0.571809298193663,0.459210116161597,0.354551348366528
165,26163531400,26163531400,"+42.3803842,-083.1189728",0.333754548551723,0.177765713596332,0.468946583692309,0.354551348366528
166,26163531500,26163531500,"+42.3870970,-083.1235622",0.381464178488086,0.106060606060606,0.628166464488652,0.410165464915
