ToxPi Score,FIPS,Name,Source,Economic & Productivity Losses!1!0x88cceeff,Transition Risks!1!0x44aa99ff
0.407610084396538,26163511200,26163511200,"+42.3763856,-083.0658451",0.231613611416026,0.583606557377049
0.199073257634378,26163511300,26163511300,"+42.4154477,-083.0497684",0.326015367727772,0.0721311475409836
0.509146857173706,26163511400,26163511400,"+42.3900705,-083.0776630",0.434687156970362,0.583606557377049
0.449322488348239,26163511900,26163511900,"+42.3735241,-083.0718813",0.315038419319429,0.583606557377049
0.26658868834464,26163512100,26163512100,"+42.3989089,-082.9638962",0.464324917672887,0.0688524590163935
0.20900289719458,26163512200,26163512200,"+42.3953197,-082.9768484",0.368825466520307,0.0491803278688525
0.0784851811196487,26163512300,26163512300,"+42.3882982,-082.9663155",0.156970362239297,0
0.20801317233809,26163512400,26163512400,"+42.3908867,-082.9560714",0.41602634467618,0
0.250274423710209,26163512600,26163512600,"+42.3820764,-082.9560601",0.500548847420417,0
0.271679473106476,26163512900,26163512900,"+42.3755477,-082.9504678",0.543358946212953,0
0.336992316136114,26163513200,26163513200,"+42.3679701,-082.9383380",0.673984632272228,0
0.5,26163513300,26163513300,"+42.3582384,-082.9413094",1,0
0.0647639956092206,26163513600,26163513600,"+42.3657136,-082.9802179",0.129527991218441,0
0.49231613611416,26163513700,26163513700,"+42.3580493,-082.9609921",0.98463227222832,0
0.118551042810099,26163513900,26163513900,"+42.3722151,-082.9837943",0.237102085620198,0
0.250180849723777,26163514100,26163514100,"+42.3798303,-082.9893988",0.457738748627881,0.0426229508196721
0.449322488348239,26163514200,26163514200,"+42.3817139,-083.0084252",0.315038419319429,0.583606557377049
0.257272678195462,26163514300,26163514300,"+42.3888619,-082.9934067",0.45225027442371,0.0622950819672131
0.106701337028306,26163514500,26163514500,"+42.3753160,-082.9999028",0.0658616904500549,0.147540983606557
0.423013802162999,26163515200,26163515200,"+42.3616627,-083.0056672",0.278814489571899,0.567213114754098
0.338842201867881,26163515300,26163515300,"+42.3532902,-083.0005510",0.520307354555434,0.157377049180328
0.114579546885966,26163515400,26163515400,"+42.3609676,-082.9963793",0.170142700329308,0.059016393442623
0.0389681668496158,26163515600,26163515600,"+42.3639483,-082.9917654",0.0779363336992316,0
0.499350380594195,26163515700,26163515700,"+42.3530390,-082.9871415",0.952799121844127,0.0459016393442623
0.352176494934408,26163515900,26163515900,"+42.3829752,-083.0169292",0.120746432491767,0.583606557377049
0.498725954184737,26163516000,26163516000,"+42.3714831,-083.0093251",0.417124039517014,0.580327868852459
0.354920732036494,26163516100,26163516100,"+42.3756603,-083.0258411",0.126234906695939,0.583606557377049
0.311012938403124,26163516200,26163516200,"+42.3661558,-083.0189390",0.0384193194291987,0.583606557377049
0.349432257832323,26163516300,26163516300,"+42.3595713,-083.0152242",0.115257958287596,0.583606557377049
0.373581544330676,26163516400,26163516400,"+42.3508558,-083.0096137",0.163556531284303,0.583606557377049
0.634298465026722,26163516500,26163516500,"+42.3375655,-083.0148583",0.691547749725576,0.577049180327869
0.412549711180292,26163516600,26163516600,"+42.3413645,-083.0201887",0.241492864983535,0.583606557377049
0.475118317107844,26163516700,26163516700,"+42.3483954,-083.0210206",0.366630076838639,0.583606557377049
