row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
40,26163505500,26163505500,"+42.3970633,-083.0014601",0.606656036824328,0.888573804628989,0.688653692122714,0.550673090519089,0.523916517427336,0.376418912249531,0.251464646897865,0.966891593924772
41,26163506100,26163506100,"+42.4445674,-083.0320133",0.52355446122099,0.471547329643206,0.564963820782482,0.751498058553448,0.719044431000633,0.358004584388949,0.276445847379361,0.523377156798849
42,26163506200,26163506200,"+42.4374798,-083.0316910",0.496745828522005,0.506104721115368,0.536394528302152,0.563710465543858,0.605916178497559,0.544089099463692,0.188366886542404,0.532638920188998
43,26163506300,26163506300,"+42.4265859,-083.0313176",0.585426082949889,0.608835499104251,0.731854400526888,0.756891264973734,0.586863836821974,0.388203424034043,0.331386189287563,0.693947965900768
44,26163506400,26163506400,"+42.4225996,-083.0523153",0.545265524525213,0.46491898453838,0.672690559114964,0.734809855276427,0.594250515784844,0.374647671064609,0.284294467651962,0.691246618245307
45,26163506500,26163506500,"+42.4298760,-083.0459797",0.539744338983706,0.791401408278657,0.685651526168308,0.695218417737433,0.512288498021339,0.411772447603066,0.153484129775292,0.528393945301846
46,26163506600,26163506600,"+42.4370474,-083.0485200",0.560046800717575,0.606622003255129,0.741215083989757,0.836480580595904,0.534203733349017,0.33592713234407,0.313944810904007,0.551934260585143
47,26163506700,26163506700,"+42.4441868,-083.0465810",0.452264246260669,0.214381110541171,0.368405141357975,0.661112120035432,0.677506159254146,0.600428826813192,0.0322665500095785,0.611749815813191
48,26163506800,26163506800,"+42.4438513,-083.0676404",0.587435917847722,0.506753984660657,0.570327791291013,0.819552418833438,0.660481427670831,0.480796016626636,0.373245497408097,0.70089428844338
49,26163506900,26163506900,"+42.4368143,-083.0671656",0.518086253326282,0.502330564269043,0.564083011833251,0.681586776461964,0.506240083733813,0.435445661830027,0.388070669034119,0.54884700612176
50,26163507000,26163507000,"+42.4296948,-083.0621938",0.57416832248836,0.74189095594771,0.770409658207648,0.708340872498995,0.505348367951365,0.497631033461652,0.24941171088485,0.5461456584663
51,26163507100,26163507100,"+42.4277494,-083.0763573",0.430803308124084,0.48273409053025,0.535737101333851,0.653307354380077,0.498253507593484,0.0858585858585859,0.219761367632805,0.539971149539533
52,26163507200,26163507200,"+42.4209193,-083.0737640",0.4878745330778,0.89673066897135,0.692076035059195,0.687120849385155,0.483094770235768,0.131313131313131,0.0357548256862896,0.489031450893711
