row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment
58,26163508000,26163508000,"+42.4392203,-083.1132634",0.799564815302655,0.963281164446496,0.774270504167037,0.717644732194352,0.743062860402736
59,26163508100,26163508100,"+42.4408940,-083.1014824",0.589428178618707,0.65854094833713,0.577702470436133,0.523900350553552,0.597568945148011
60,26163510400,26163510400,"+42.4147480,-083.0760398",0.646848218513894,0.575061693294072,0.569739208927535,0.817245550649091,0.625346421184879
61,26163510500,26163510500,"+42.4086539,-083.0689077",0.635105693616403,0.524851359580947,0.596124493356229,0.614233448987297,0.80521347254114
62,26163510600,26163510600,"+42.4074065,-083.0465471",0.529367060315069,0.371638759915702,0.535944444716458,0.613697440350154,0.596187596277962
63,26163510700,26163510700,"+42.3936461,-083.0398776",0.692610416990894,0.785333889991946,0.732177106252615,0.683005001389627,0.569925670329387
64,26163511000,26163511000,"+42.4008260,-083.0306599",0.743418895101824,0.66086315265228,0.885575339600186,0.790879453136623,0.636357635018206
65,26163511200,26163511200,"+42.3763856,-083.0658451",0.60721587766953,0.448564703140541,0.72418207927831,0.441770163485475,0.814346564773795
66,26163511300,26163511300,"+42.4154477,-083.0497684",0.648371689655127,0.722379188818692,0.655009095710041,0.73734087920842,0.478757594883355
67,26163511400,26163511400,"+42.3900705,-083.0776630",0.690413717997815,0.781198917057785,0.82020544878338,0.533015903065808,0.627234603084286
68,26163511900,26163511900,"+42.3735241,-083.0718813",0.508489850260605,0.55275792095147,0.499477631570915,0.19217507140184,0.789548777118194
69,26163512100,26163512100,"+42.3989089,-082.9638962",0.570048771583259,0.654053275224944,0.670813982975318,0.546319031795817,0.409008796336956
70,26163512200,26163512200,"+42.3953197,-082.9768484",0.672930719210126,0.762727656476905,0.80602799796886,0.740141392765501,0.382825829629237
71,26163512300,26163512300,"+42.3882982,-082.9663155",0.701903980265579,0.797975286155132,0.787854666535438,0.801161338553242,0.420624629818505
72,26163512400,26163512400,"+42.3908867,-082.9560714",0.568626893770291,0.68070554753938,0.466844849135797,0.799132864045434,0.327824314360551
73,26163512600,26163512600,"+42.3820764,-082.9560601",0.565561670434958,0.688921822097167,0.571998978291711,0.661128177054418,0.340197704296534
74,26163512900,26163512900,"+42.3755477,-082.9504678",0.693556741251226,0.896205818488515,0.823295994161521,0.707753458921659,0.346971693433208
75,26163513200,26163513200,"+42.3679701,-082.9383380",0.42134430133971,0.569660556445129,0.417929149493844,0.430755335229595,0.267032164190273
76,26163513300,26163513300,"+42.3582384,-082.9413094",0.242353224692716,0.224653104261617,0.184281836683537,0.560477957825712,0
77,26163513600,26163513600,"+42.3657136,-082.9802179",0.59585205156897,0.723673998984718,0.744564220645538,0.522032458446809,0.393137528198817
78,26163513700,26163513700,"+42.3580493,-082.9609921",0.422452211071145,0.255253674873007,0.471435534961423,0.685888265509241,0.277231368940908
79,26163513900,26163513900,"+42.3722151,-082.9837943",0.662285548776197,0.713980004876643,0.659813177314549,0.808036228255894,0.4673127846577
80,26163514100,26163514100,"+42.3798303,-082.9893988",0.718901423102857,0.828686855187305,0.751487407361491,0.87125046212164,0.424180967740993
