row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
45,26163506500,26163506500,"+42.4298760,-083.0459797",0.520299867764352,0.772427478563893,0.685418196286996,0.688019321532041,0.532841350330117,0.411772447603066,0.125263363465995,0.426356916568352
46,26163506600,26163506600,"+42.4370474,-083.0485200",0.537513056379841,0.608881769535087,0.726996925948518,0.846933934151371,0.543905864270818,0.33592713234407,0.230646306151344,0.469299462257679
47,26163506700,26163506700,"+42.4441868,-083.0465810",0.430077952333228,0.234709421693999,0.354235677786095,0.581922294256141,0.693321609468643,0.600428826813192,0.0456534230678229,0.500274413246701
48,26163506800,26163506800,"+42.4438513,-083.0676404",0.545170278805136,0.527778574897421,0.50419495663986,0.760912171590816,0.631848410592046,0.480796016626636,0.269592176274191,0.641069645014983
49,26163506900,26163506900,"+42.4368143,-083.0671656",0.496459548153254,0.525162268928757,0.503501210591768,0.718043253048096,0.550068145882279,0.435445661830027,0.279328643804903,0.463667652986947
50,26163507000,26163507000,"+42.4296948,-083.0621938",0.538717364117118,0.663606267269093,0.717200343473983,0.70492799278447,0.540652056232029,0.497631033461652,0.188264035723541,0.458739819875057
51,26163507100,26163507100,"+42.4277494,-083.0763573",0.407910253543417,0.419019062158666,0.501445916652477,0.679152760911466,0.553628147227013,0.0858585858585859,0.168791100662117,0.447476201333595
52,26163507200,26163507200,"+42.4209193,-083.0737640",0.472038580572173,0.867658729433457,0.65208740978943,0.703811307429096,0.546903781069105,0.131313131313131,0.0479443566044609,0.354551348366528
53,26163507300,26163507300,"+42.4262623,-083.0877402",0.435190784788584,0.350341356886224,0.301976742880577,0.634550420697402,0.584945597899302,0.468013468013468,0.202009636943369,0.504498270199749
54,26163507400,26163507400,"+42.4362144,-083.0856365",0.450985530599462,0.375156464221819,0.551541097892195,0.519795930257236,0.63234636503318,0.368686868686869,0.238664573529577,0.470707414575361
55,26163507500,26163507500,"+42.4432546,-083.0881317",0.494352911900023,0.591375042569189,0.486609888916977,0.551626422942315,0.716189641329329,0.544089099463692,0.156190966210608,0.414389321868048
56,26163507800,26163507800,"+42.4243919,-083.0970382",0.574379570630963,0.857211007509845,0.795724914792633,0.530440353489922,0.604809306955283,0.689654416038781,0.0643658433076574,0.478451152322617
57,26163507900,26163507900,"+42.4263906,-083.1066037",0.449537630324336,0.347884077017658,0.445651024884306,0.496844613957687,0.553080604201388,0.509327805744744,0.35001896592518,0.443956320539388
58,26163508000,26163508000,"+42.4392203,-083.1132634",0.691954282115486,0.963281164446496,0.774270504167037,0.717644732194352,0.743062860402736,0.592011318395683,0.431347106475831,0.622062288726265
59,26163508100,26163508100,"+42.4408940,-083.1014824",0.520714104164037,0.65854094833713,0.577702470436133,0.523900350553552,0.597568945148011,0.480116035490628,0.27662459110592,0.530545388076881
60,26163510400,26163510400,"+42.4147480,-083.0760398",0.495903935282474,0.575061693294072,0.569739208927535,0.817245550649091,0.625346421184879,0.30976430976431,0.0422170227628658,0.531953340394564
