row#,Name,FIPS,Source,ToxPi Score,Transportation Sources,Exposures & Risks,Pollution Sources,Criteria Air Pollutants,Land Use
39,26163505400,26163505400,"+42.4186463,-082.9937654",0.475255288974804,0.420002479353479,0.265954157048574,0.566250974279034,0.477306002928258,0.646762831264676
40,26163505500,26163505500,"+42.3970633,-083.0014601",0.5539515592687,0.732157509784591,0.209917780633645,0.650038971161341,0.651537335285505,0.526106199478417
41,26163506100,26163506100,"+42.4445674,-083.0320133",0.698827932410294,0.578520239198579,0.647973360278795,0.701870615744349,0.613469985358712,0.952305461471037
42,26163506200,26163506200,"+42.4374798,-083.0316910",0.641323441357853,0.38772956156766,0.514124930062484,0.706936866718628,0.622254758418741,0.975571090021751
43,26163506300,26163506300,"+42.4265859,-083.0313176",0.598253702405639,0.477182568964398,0.450934973679691,0.738113795791115,0.645680819912152,0.679356353680839
44,26163506400,26163506400,"+42.4225996,-083.0523153",0.594507671316426,0.493572866427783,0.517221815310626,0.699142634450507,0.658857979502196,0.60374306089102
45,26163506500,26163506500,"+42.4298760,-083.0459797",0.533354651816158,0.235910483532961,0.553784557368594,0.717848791893998,0.682284040995608,0.47694538528963
46,26163506600,26163506600,"+42.4370474,-083.0485200",0.541348701294939,0.266819756905295,0.611410618220827,0.69485580670304,0.642752562225476,0.490904762420058
47,26163506700,26163506700,"+42.4441868,-083.0465810",0.64930074206435,0.525003099191849,0.679739775027156,0.687061574434918,0.648609077598829,0.706090184068996
48,26163506800,26163506800,"+42.4438513,-083.0676404",0.604886699470872,0.480457381684662,0.79141510674769,0.660561184723305,0.632503660322108,0.459496163876595
49,26163506900,26163506900,"+42.4368143,-083.0671656",0.545800915316107,0.170910099823494,0.591936983863866,0.664848012470772,0.554904831625183,0.746404648797221
50,26163507000,26163507000,"+42.4296948,-083.0621938",0.538997843173567,0.200001180644514,0.587565351661282,0.667186282151208,0.623718887262079,0.616517514148749
51,26163507100,26163507100,"+42.4277494,-083.0763573",0.548372996389605,0.209546691538911,0.585578246114654,0.620420888542479,0.708638360175696,0.617680795576284
52,26163507200,26163507200,"+42.4209193,-083.0737640",0.543514679425312,0.244025938759969,0.492979127641756,0.633671083398285,0.65592972181552,0.690967525511032
53,26163507300,26163507300,"+42.4262623,-083.0877402",0.570999679456325,0.730004309352476,0.499337865390967,0.573655494933749,0.67203513909224,0.37996558851219
54,26163507400,26163507400,"+42.4362144,-083.0856365",0.605246468771352,0.586367097798688,0.522388289731861,0.614964925954793,0.67203513909224,0.630476891279177
55,26163507500,26163507500,"+42.4432546,-083.0881317",0.665822767266396,0.582730712696061,0.786464117148719,0.636788776305534,0.625183016105417,0.697947214076246
56,26163507800,26163507800,"+42.4243919,-083.0970382",0.585351098224165,0.743161116653581,0.34084932639646,0.522603273577553,0.65592972181552,0.664212052677712
