row#,Name,FIPS,Source,ToxPi Score,Overall Physical Health,Mental Health & Deaths of Despair,Chronic Disease,Chronic Disease Prevention,Access to Care
120,26163521800,26163521800,"+42.3461214,-083.0712523",0.618706859642468,0.706075533661741,0.26510067114094,1,0.689129365469749,0.43322872793991
121,26163521900,26163521900,"+42.3503993,-083.0805337",0.269651727161479,0.134646962233169,0.531879194630873,0.169727323316639,0.208066896212494,0.303938259414222
122,26163522000,26163522000,"+42.3435757,-083.0875891",0.648279057585879,0.589490968801314,0.501677852348993,0.820812465219811,0.77078209542548,0.558631906133797
123,26163522100,26163522100,"+42.3435090,-083.1014140",0.316854748297894,0.318555008210181,0.379194630872483,0.393433500278242,0.249385145105755,0.243705457022808
124,26163522200,26163522200,"+42.3511187,-083.1065656",0.604707752437513,0.645320197044335,0.422818791946309,0.778519755147468,0.818494835218888,0.358385182830563
125,26163522300,26163522300,"+42.3565382,-083.0965947",0.767715001209124,1,0.491610738255034,0.948247078464107,0.938022626660108,0.460694562666371
126,26163522400,26163522400,"+42.3609881,-083.0833636",0.551753782729926,0.745484400656815,0.761744966442953,0.382860322760156,0.541072306935563,0.327606916854142
127,26163522500,26163522500,"+42.3411363,-083.0606837",0.776451869657963,0.917898193760263,0.580536912751678,0.873121869782972,0.980816527299557,0.529885844695344
128,26163523100,26163523100,"+42.3259510,-083.1023821",0.462136225264677,0.192118226600985,0.761744966442953,0.0712298274902616,0.544023610427939,0.741564495361248
129,26163523200,26163523200,"+42.3144563,-083.1042425",0.479652554577053,0.218390804597701,0.711409395973154,0.110740122426266,0.555828824397442,0.8018936254907
130,26163523300,26163523300,"+42.3172270,-083.0975239",0.517558516960896,0.279146141215107,0.785234899328859,0.125208681135225,0.619281849483522,0.778921013641767
131,26163523400,26163523400,"+42.3196503,-083.0910903",0.435073451356865,0.185550082101806,0.610738255033557,0.163049526989427,0.484013772749631,0.732015619909906
132,26163523800,26163523800,"+42.3078841,-083.1139929",0.592185560023743,0.385878489326765,0.89261744966443,0.177518085698386,0.671421544515494,0.833492230913641
133,26163524000,26163524000,"+42.3169861,-083.1199144",0.556053749931265,0.443349753694581,0.870805369127517,0.200333889816361,0.711756025577964,0.554023711439901
134,26163524100,26163524100,"+42.3113650,-083.1373320",0.624243151394598,0.487684729064039,0.86744966442953,0.404563160823595,0.819970486965076,0.541547715690751
135,26163524200,26163524200,"+42.3070018,-083.1291089",0.688638915442798,0.532019704433498,0.919463087248322,0.332776850306066,0.810132808657157,0.848802126568949
136,26163524300,26163524300,"+42.3001177,-083.1320379",0.508522936958446,0.229885057471264,0.808724832214765,0.101836393989983,0.571569109690113,0.830599291426104
137,26163524500,26163524500,"+42.2868892,-083.1512103",0.420371036144004,0.29064039408867,0.61744966442953,0.0634390651085142,0.378258730939498,0.752067326153808
138,26163524700,26163524700,"+42.2739530,-083.1526152",0.554083252085501,0.701149425287356,0.172818791946309,0.736783528102393,0.523364485981308,0.636300029110137
139,26163524800,26163524800,"+42.2630997,-083.1615912",0.533611940707905,0.495894909688013,0.201342281879195,0.777406789092933,0.549434333497295,0.643981389382092
140,26163524900,26163524900,"+42.2904837,-083.1246926",0.506757245117208,0.280788177339901,0.785234899328859,0.282693377851976,0.647319232661092,0.53775053840421
141,26163525000,26163525000,"+42.3036532,-083.0973176",0.6532916144856,0.620689655172414,0.847315436241611,0.432387312186978,0.827348745696016,0.538716923130981
142,26163525400,26163525400,"+42.3391838,-083.1140246",0.623904663880501,0.458128078817734,0.676174496644295,0.539232053422371,0.782095425479587,0.663893265038519
143,26163525500,26163525500,"+42.3340140,-083.1093553",0.67467244426692,0.54679802955665,0.738255033557047,0.684474123539232,0.901623216920807,0.502211817760865
144,26163525600,26163525600,"+42.3282644,-083.1115806",0.403007946794695,0.180623973727422,0.771812080536913,0.0901502504173623,0.556320708312838,0.416132720978939
